city,district,neighborhood,room,livingroom,area,age,floor,price
ankara,mamak,general_zeki_dogan,2,1,100,25,1,20000
istanbul,beylikduzu,cumhuriyet,1,1,80,0,8,29250
antalya,kepez,selale,2,1,100,1,1,20000
ankara,altindag,aydinlikevler,3,1,130,40,3,20000
mugla,mentese,orhaniye,1,1,60,5,0,30000
ankara,cankaya,asagi_ovecler,3,1,120,30,2,32500
kocaeli,karamursel,eregli,4,1,110,10,4,20000
istanbul,beylikduzu,adnan_kahveci,2,1,105,6,1,29750
ankara,sincan,andicen,2,1,80,1,3,24000
eskisehir,odunpazari,kirmizitoprak,2,1,100,14,1,18000
ankara,cankaya,kavaklidere,3,1,110,35,3,30000
izmir,bornova,mevlana,1,1,50,21,3,15000
aydin,kusadasi,degirmendere,2,1,100,3,3,21500
istanbul,beykoz,camlibahce,2,1,85,30,0,30000
ankara,cankaya,sehit_cengiz_karaca,3,1,115,8,4,33000
denizli,pamukkale,zeytinkoy,2,1,90,4,2,24000
ankara,cankaya,bahcelievler,3,1,115,35,1,47000
kocaeli,darica,zincirlikuyu,2,1,90,5,3,18000
istanbul,beykoz,tokatkoy,3,1,160,27,3,40000
ankara,kecioren,etlik,3,1,120,25,1,25500
ankara,kecioren,etlik,3,1,110,25,1,20000
balikesir,bandirma,yeni,1,1,55,0,2,18000
istanbul,beykoz,yalikoy,1,1,65,35,3,19000
ankara,cankaya,birlik,3,1,100,40,1,35000
ankara,cankaya,yukari_dikmen,1,1,43,0,3,32000
istanbul,beykoz,tokatkoy,3,1,135,15,4,24500
istanbul,beykoz,yalikoy,1,1,80,31,4,32000
ankara,cankaya,arka_topraklik,3,1,110,30,1,22000
istanbul,beykoz,pasabahce,2,1,85,30,1,20000
istanbul,kagithane,celiktepe,1,1,75,8,-1,25000
ankara,cankaya,koru,3,1,145,30,6,45000
ankara,mamak,safaktepe,3,1,100,20,0,18999
izmir,karsiyaka,bahriye_ucok,3,1,120,50,3,30000
ankara,kecioren,kuscagiz,3,1,165,9,1,32000
izmir,cigli,atasehir,2,1,117,7,1,45000
ankara,cankaya,mursel_uluc,3,1,130,22,2,29000
ankara,kecioren,etlik,3,1,135,30,5,24500
izmir,karabaglar,bahar,3,1,144,2,3,30000
adana,seyhan,sumer,1,1,65,15,5,14000
istanbul,uskudar,bulgurlu,3,1,160,20,3,10000
ankara,cankaya,fakulteler,2,1,210,40,4,25000
istanbul,sisli,mecidiyekoy,1,1,50,35,5,18000
istanbul,beyoglu,kilicali_pasa,2,1,80,45,4,50000
ankara,yenimahalle,kardelen,4,1,179,25,2,30000
ankara,cankaya,bahcelievler,3,1,130,45,2,32000
ankara,cankaya,yukari_bahcelievler,4,1,160,3,4,58000
istanbul,kagithane,ortabayir,1,1,70,9,1,38000
mersin,toroslar,korukent,3,1,170,13,2,30000
mersin,yenisehir,ciftlikkoy,1,1,50,10,1,21000
ankara,cankaya,mursel_uluc,2,1,100,0,2,37500
ankara,cankaya,emek,3,1,120,36,3,35000
istanbul,bahcelievler,sirinevler,2,1,85,35,4,16000
kocaeli,izmit,hacihizir,2,1,95,20,-3,17500
ankara,golbasi,incek,1,1,48,1,1,18500
ankara,cankaya,bahcelievler,4,1,150,38,1,39000
ankara,cankaya,ilkadim,3,1,115,30,-1,23000
istanbul,kagithane,merkez,3,1,145,21,8,55000
kayseri,melikgazi,guluk,4,1,130,20,5,16000
ankara,cankaya,emek,3,1,100,30,2,36000
ankara,cankaya,emek,3,1,110,20,1,30000
ankara,cankaya,mursel_uluc,3,1,150,15,4,35000
ankara,cankaya,emek,4,1,150,25,2,52000
mersin,erdemli,tomuk,1,1,62,1,3,14000
ankara,cankaya,yukari_bahcelievler,3,1,130,40,3,45000
ankara,cankaya,bahcelievler,3,1,120,25,0,38000
ankara,cankaya,bahcelievler,3,1,130,25,1,38000
